season,episode_number,episode_name,gross_running_time,opening_credits_time,closing_credits_time,net_running_time,cumulative_net_running_time
1,1,"""Winter Is Coming""",3546,110,33,3403,3403
1,2,"""The Kingsroad""",3182,111,34,3037,6440
1,3,"""Lord Snow""",3294,96,27,3171,9611
1,4,"""Cripples, Bastards, and Broken Things""",3201,96,26,3079,12690
1,5,"""The Wolf and the Lion""",3123,101,24,2998,15688
1,6,"""A Golden Crown""",3027,103,26,2898,18586
1,7,"""You Win or You Die""",3325,105,26,3194,21780
1,8,"""The Pointy End""",3345,105,28,3212,24992
1,9,"""Baelor""",3238,116,32,3090,28082
1,10,"""Fire and Blood""",3028,116,32,2880,30962
2,11,"""The North Remembers""",3179,110,37,3032,33994
2,12,"""The Night Lands""",3223,108,37,3078,37072
2,13," ""What Is Dead May Never Die""",3035,108,39,2888,39960
2,14,"""Garden of Bones""",2916,109,37,2770,42730
2,15,"""The Ghost of Harrenhal""",3117,112,37,2968,45698
2,16,"""The Old Gods and the New""",3107,111,39,2957,48655
2,17,"""A Man Without Honor""",3175,115,39,3021,51676
2,18,"""The Prince of Winterfell""",3070,117,38,2915,54591
2,19,"""Blackwater""",3134,116,49,2969,57560
2,20,"""Valar Morghulis""",3651,120,47,3484,61044
3,21,"""Valar Dohaeris""",3138,113,38,2987,64031
3,22,"""Dark Wings, Dark Words""",3285,120,41,3124,67155
3,23,"""Walk of Punishment""",3039,108,38,2893,70048
3,24,"""And Now His Watch Is Ended""",3072,107,34,2931,72979
3,25,"""Kissed by Fire""",3304,107,34,3163,76142
3,26,"""The Climb""",3071,108,38,2925,79067
3,27,"""The Bear and the Maiden Fair""",3315,108,33,3174,82241
3,28,"""Second Sons""",3243,108,36,3099,85340
3,29,"""The Rains of Castamere""",2923,111,41,2771,88111
3,30,"""Mhysa""",3610,117,39,3454,91565
4,31,"""Two Swords""",3350,118,42,3190,94755
4,32,"""The Lion and the Rose""",3025,108,42,2875,97630
4,33,"""Breaker of Chains""",3274,108,33,3133,100763
4,34,"""Oathkeeper""",3169,108,36,3025,103788
4,35,"""First of His Name""",3061,108,37,2916,106704
4,36,"""The Laws of Gods and Men""",2917,108,37,2772,109476
4,37,"""Mockingbird""",2940,108,37,2793,112269
4,38,"""The Mountain and the Viper""",3014,108,35,2871,115140
4,39,"""The Watchers on the Wall""",2910,110,51,2749,117889
4,40,"""The Children""",3759,108,49,3602,121491
5,41,"""The Wars to Come""",3001,120,43,2838,124329
5,42,"""The House of Black and White""",3196,118,42,3036,127365
5,43,"""High Sparrow""",3448,117,42,3289,130654
5,44,"""Sons of the Harpy""",2900,118,43,2739,133393
5,45,"""Kill the Boy""",3261,120,52,3089,136482
5,46,"""Unbowed, Unbent, Unbroken""",3088,115,43,2930,139412
5,47,"""The Gift""",3385,115,43,3227,142639
5,48,"""Hardhome""",3342,112,53,3177,145816
5,49,"""The Dance of Dragons""",3012,116,47,2849,148665
5,50,"""Mother's Mercy""",3465,121,45,3299,151964
6,51,"""The Red Woman""",2877,116,38,2723,154687
6,52,"""Home""",3089,119,38,2931,157618
6,53,"""Oathbreaker""",3002,118,37,2847,160465
6,54,"""Book of the Stranger""",3376,115,38,3223,163688
6,55,"""The Door""",3267,117,38,3112,166800
6,56,"""Blood of My Blood""",2959,121,37,2801,169601
6,57,"""The Broken Man""",2895,116,38,2741,172342
6,58,"""No One""",3355,120,37,3198,175540
6,59,"""Battle of the Bastards""",3410,122,49,3239,178779
6,60,"""The Winds of Winter""",3912,128,45,3739,182518
7,61,"""Dragonstone""",3374,105,37,3232,185750
7,62,"""Stormborn""",3341,114,46,3181,188931
7,63,"""The Queen's Justice""",3589,113,40,3436,192367
7,64,"""The Spoils of War""",2842,106,43,2693,195060
7,65,"""Eastwatch""",3365,118,48,3199,198259
7,66,"""Beyond the Wall""",4029,110,48,3871,202130
7,67,"""The Dragon and the Wolf""",4593,109,45,4439,206569
8,68,"""Winterfell""",3216,226,78,2990,209559
8,69,"""A Knight of the Seven Kingdoms""",3334,108,77,3149,212708
8,70,"""The Long Night""",4875,111,84,4680,217388
8,71,"""The Last of the Starks""",4686,114,78,4430,221818
8,72,"""The Bells""",4656,113,77,4466,226284
8,73,"""The Iron Throne""",4711,119,76,4516,230800
